rank,model,params_json,cv_ndcg@100
65,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.3, ""max_depth"": 6, ""n_estimators"": 100, ""subsample"": 0.8}",0.43234201213550605
66,svr,"{""C"": 10.0, ""epsilon"": 0.1, ""gamma"": ""scale""}",0.4322763828393927
67,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 8, ""n_estimators"": 100, ""subsample"": 0.8}",0.43225370273400465
68,knn,"{""n_neighbors"": 10, ""weights"": ""uniform""}",0.4322502420678596
69,svr,"{""C"": 10.0, ""epsilon"": 0.01, ""gamma"": ""scale""}",0.4322323014576813
70,mlp,"{""alpha"": 0.01, ""batch_size"": 64, ""hidden_layer_sizes"": [256], ""learning_rate_init"": 0.001}",0.4321909094575333
71,svr,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": ""scale""}",0.43218602468311795
72,mlp,"{""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.001}",0.43208398719439955
73,mlp,"{""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [512, 256], ""learning_rate_init"": 0.0001}",0.43206433397269545
74,mlp,"{""alpha"": 0.01, ""batch_size"": 32, ""hidden_layer_sizes"": [512, 256], ""learning_rate_init"": 0.0001}",0.43201788723308415
75,mlp,"{""alpha"": 0.001, ""batch_size"": 64, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.001}",0.432002479050949
76,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",0.4319930902019304
77,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",0.4318549847734315
78,elasticnet,"{""alpha"": 1.0, ""l1_ratio"": 0.1}",0.4318549847734315
79,elasticnet,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",0.4318549847734315
80,elasticnet,"{""alpha"": 1.0, ""l1_ratio"": 0.9}",0.4318549847734315
81,mlp,"{""alpha"": 0.01, ""batch_size"": 64, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.001}",0.43184386900615374
82,mlp,"{""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [256], ""learning_rate_init"": 0.001}",0.4318305206871339
83,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 6, ""n_estimators"": 100, ""subsample"": 0.8}",0.4317434445600399
84,ridge,"{""alpha"": 100.0}",0.4317369906539044
85,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.8}",0.43170515818456145
86,mlp,"{""alpha"": 0.01, ""batch_size"": 32, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.0001}",0.43148040232080775
87,mlp,"{""alpha"": 0.01, ""batch_size"": 32, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.001}",0.4314054800248517
88,elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",0.43138570574520624
89,ridge,"{""alpha"": 1000.0}",0.4313468669573056
90,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 8, ""n_estimators"": 300, ""subsample"": 0.8}",0.4313107295621288
91,mlp,"{""alpha"": 0.01, ""batch_size"": 64, ""hidden_layer_sizes"": [512, 256], ""learning_rate_init"": 0.0001}",0.4311294970137697
92,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.3, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.8}",0.43110240933902383
93,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.8}",0.431092876727355
94,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.3, ""max_depth"": 8, ""n_estimators"": 300, ""subsample"": 0.8}",0.4310778639578685
95,mlp,"{""alpha"": 0.01, ""batch_size"": 64, ""hidden_layer_sizes"": [512], ""learning_rate_init"": 0.001}",0.430974295454718
96,mlp,"{""alpha"": 0.01, ""batch_size"": 64, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.0001}",0.4309055673162218
97,elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.1}",0.43080340939072376
98,elasticnet,"{""alpha"": 0.001, ""l1_ratio"": 0.9}",0.43073252161360315
99,mlp,"{""alpha"": 0.01, ""batch_size"": 32, ""hidden_layer_sizes"": [256], ""learning_rate_init"": 0.001}",0.43066041482309403
100,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.3, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.8}",0.430292137157264
