rank,model,params,macro_ndcg10,scifact,nfcorpus,arguana,fiqa,scidocs
52,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.381482,0.631268,0.325144,0.371625,0.404640,0.174733
53,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.381415,0.632898,0.323105,0.371787,0.407492,0.171795
54,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.381401,0.636136,0.324532,0.371022,0.400266,0.175051
55,xgboost,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.381388,0.629804,0.323610,0.372967,0.406286,0.174272
56,svr,"{""C"": 0.1, ""epsilon"": 0.2, ""gamma"": ""scale""}",0.381295,0.639359,0.330881,0.369503,0.391013,0.175717
57,svr,"{""C"": 0.1, ""epsilon"": 0.2, ""gamma"": ""auto""}",0.381295,0.639359,0.330881,0.369503,0.391013,0.175717
58,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.381279,0.632740,0.326960,0.370016,0.402793,0.173885
59,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.381144,0.630567,0.319044,0.375081,0.406050,0.174978
60,xgboost,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.3, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.381124,0.634754,0.327196,0.369473,0.402069,0.172128
61,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.381097,0.632491,0.325585,0.369392,0.403467,0.174550
62,xgboost,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.381083,0.632546,0.327882,0.370063,0.401240,0.173682
63,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.381077,0.636122,0.324879,0.369278,0.401037,0.174068
64,xgboost,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",0.381000,0.633167,0.326298,0.372751,0.400447,0.172336
65,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.380967,0.633445,0.322049,0.372806,0.401500,0.175037
66,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",0.380916,0.636477,0.323847,0.370268,0.400047,0.173940
