rank,model,params,macro_ndcg10,scifact,nfcorpus,arguana,fiqa,scidocs
39,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 50, ""subsample"": 0.8}",0.383369,0.638830,0.332165,0.371117,0.401201,0.173531
40,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 200, ""subsample"": 1.0}",0.383356,0.633865,0.334512,0.376426,0.400497,0.171479
41,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 50, ""subsample"": 1.0}",0.383349,0.635474,0.333928,0.371502,0.403731,0.172109
42,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 200, ""subsample"": 1.0}",0.383345,0.635399,0.333913,0.374320,0.401409,0.171686
43,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 1.0}",0.383303,0.633275,0.334383,0.377239,0.400462,0.171158
44,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 1.0}",0.383297,0.635789,0.333951,0.370500,0.403788,0.172456
45,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 200, ""subsample"": 0.8}",0.383246,0.633532,0.335444,0.370013,0.403930,0.173310
46,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 1.0}",0.383191,0.637617,0.333798,0.370546,0.401985,0.172009
47,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.383187,0.638387,0.332083,0.372603,0.401823,0.171038
48,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 200, ""subsample"": 1.0}",0.383178,0.635452,0.333226,0.372510,0.402022,0.172679
49,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 100, ""subsample"": 1.0}",0.383172,0.640181,0.332125,0.369026,0.401797,0.172732
50,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 1.0}",0.383161,0.636756,0.333365,0.373139,0.401081,0.171462
51,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.383150,0.638237,0.334668,0.371262,0.400685,0.170898
52,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",0.383115,0.636405,0.334754,0.370951,0.401644,0.171819
53,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 50, ""subsample"": 0.8}",0.383106,0.637545,0.335126,0.369067,0.400859,0.172933
54,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 5, ""n_estimators"": 300, ""subsample"": 1.0}",0.383088,0.637745,0.329885,0.374559,0.402340,0.170913
55,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 50, ""subsample"": 0.8}",0.383086,0.639328,0.334464,0.369443,0.399725,0.172470
56,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 5, ""n_estimators"": 50, ""subsample"": 1.0}",0.383016,0.639367,0.333796,0.368828,0.399984,0.173103
57,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 50, ""subsample"": 0.8}",0.383014,0.638982,0.336041,0.369883,0.397389,0.172775
58,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.383008,0.634294,0.334912,0.368824,0.403232,0.173777
59,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.382989,0.635395,0.333199,0.372417,0.401632,0.172304
60,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 200, ""subsample"": 0.8}",0.382969,0.635106,0.334297,0.370985,0.401350,0.173105
61,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 1.0}",0.382936,0.635643,0.333243,0.369921,0.402625,0.173248
62,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 1.0}",0.382921,0.634124,0.335066,0.373815,0.400027,0.171570
63,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.382891,0.639363,0.330522,0.372497,0.402201,0.169872
64,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 200, ""subsample"": 0.8}",0.382882,0.635969,0.334367,0.369189,0.401238,0.173646
65,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.382822,0.633162,0.336378,0.369038,0.402496,0.173036
66,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.382817,0.634876,0.335235,0.373714,0.400560,0.169702
67,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 5, ""n_estimators"": 200, ""subsample"": 1.0}",0.382810,0.635696,0.329882,0.373403,0.403112,0.171955
68,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.382804,0.636407,0.335551,0.367128,0.401454,0.173479
